Posición,Nombre de la cación,Artista(s),Popularidad,País
1,Si Antes Te Hubiera Conocido,KAROL G,96,Argentina
2,Hoy,"Valentino Merlo, The La Planta",82,Argentina
3,"Perdonarte, ¿Para Qué?","Los Ángeles Azules, Emilia",83,Argentina
1,Si Antes Te Hubiera Conocido,KAROL G,96,Bolivia
2,UWAIE,Kapo,86,Bolivia
3,Piel,"Tiago PZK, Ke Personajes",77,Bolivia
1,Saveiro,"Kaique e Felipe, Luan Pereira",83,Brasil
2,Patrai,"NATTAN, Zé Felipe, O REI DA BATIDINHA",83,Brasil
3,Xonei,"Jorge & Mateus, Henrique & Juliano",81,Brasil
1,CHIKA MALA,"Jere Klein, Mateo on the Beatz, EL MURCIELAGO",75,Chile
2,PELIGROSA,FloyyMenor,77,Chile
3,Si Antes Te Hubiera Conocido,KAROL G,96,Chile
1,UWAIE,Kapo,86,Colombia
2,Mirame,"Blessd, Ovy On The Drums",88,Colombia
3,SE ME OLVIDA,"Maisak, Feid",83,Colombia
1,Si Antes Te Hubiera Conocido,KAROL G,96,Ecuador
2,SE ME OLVIDA,"Maisak, Feid",83,Ecuador
3,UWAIE,Kapo,86,Ecuador
1,LA PATRULLA,"Peso Pluma, Neton Vega",86,Mexico
2,NEL,Fuerza Regida,87,Mexico
3,DOS DÍAS,"Tito Double P, Peso Pluma",78,Mexico
1,Si Antes Te Hubiera Conocido,KAROL G,96,Perú
2,UWAIE,Kapo,86,Perú
3,SE ME OLVIDA,"Maisak, Feid",83,Perú
